,review,polarity,division
3870,able play youtube alexa,0.5,positive
62,able recognize indian accent really well drop function helpful call device talk person near device smart plug schedule work seamlessly con would sound kindloud but lack clarity mid frequency need tweeked optimum clarity rarely device doesnt respond call alexa,0.2794,positive
487,absolute smart device amazon connect external sub woofer sound amaze recons voice even close room like almost collection songs english hindi must quite moneys worth,0.1827,positive
3204,absolutely amaze new member family control home voice connect home anywhere world,0.3682,positive
1265,absolutely amaze previously sceptical invest money but arrive worth ityou absolutely buy wont regret cheer,0.2333,positive
53,absolutely cheat customer if buy amazon product definitely want buy amazon prime members also case if song want play absolutely need amazon prime membership otherwise can not play music app no google apps not work amazon alexa if anybody want amazon alexa go google home everything also free cost app,0.135,positive
257,absolutely house hold item fair price intuitive speech recognition superb use hindi english sometimes hinglish also big thank amazon team even place draw room call alexa bedroom ears us play favourite songs flawlessly overall best fit must guess guests visit us purchase enjoy performance must buy,0.425,positive
1258,absolutely mind blow device beautiful shape excellent work nice performance verry easy usebut problem no battery storage work pluggedotherwise amaze,0.5262,positive
3499,accept dutch language,0,neutral
2578,accessibility limit amazon apps music appsexcellent use bluetooth speaker,-0.0905,negative
2508,accha hain magar month baad issme pata ni kia hua chalta hi ni hain,0,neutral
1916,accord work software no google spot not consider perfect sound good,0.77,positive
2797,act family member,0,neutral
169,actually earlier not recognise voice think device manufacture issue but one thing realise amazon far far better e commerce company currently present india mean put bad review consider unknowning fact language change device not aware get call ireland call centre ask issue trust guy really impress way amazon customer service representatives handle issue face issue regard voice recognition particular device request help customer care will amaze help later usagefrom amazon user bye bye flipkart,0.0663,positive
3597,actually pretty cool,0.3,positive
1273,acutally gift old lady fully amaze enjoy alot wonderful item must buy every household,0.525,positive
624,ad ability india not workinglets see gcompany need work,0.5,positive
3838,add feature otherwise good,0.6,positive
778,add youtube music hungama music amazon music dont songs specially nunur bape dome jore song not play alexa add youtube music will,0.3571,positive
2417,addictive,0,neutral
478,ai improve things like google assistance like easy things google assistance nail but shop interlink amazon account useful,0.1778,positive
482,ai need improvement doent use google search doent recognise command quiet often animal sound need improvisation kid skills overall need updationvoice recognition n audio quality awesome pls update software,0.3333,positive
2609,ai not good play track alexa dont understand us properly voice recognition poor volume,-0.0625,negative
1847,ai system need improvement poor performance come song selection especially old hindi classic songs,-0.0333,negative
509,aint responsive voice command quality sound reproduction accoustics subpar say least,0.1,positive
2619,alag alag se bolate rahte hain kabhi kam sunti,0,neutral
3777,alex bluetooth not work,0,neutral
2461,alexa,0,neutral
2782,alexa,0,neutral
3982,alexa,0,neutral
1297,alexa absolutely foolish recognise ask simple language sound good mic good but know worst,0.12,positive
1057,alexa absolutely wonder fast correct thr time witty really fascinate developers fit much humour plus voice always catch ones attention great device,0.4429,positive
3695,alexa act stupid,-0.8,negative
1213,alexa always better google homebut miss thingsmicro usb internal power,0.25,positive
3815,alexa always super,0.3333,positive
2487,alexa amaze,0.6,positive
3949,alexa amaze,0.6,positive
1828,alexa amaze say alexaand go make life easier lot,0.6,positive
3883,alexa amazingsound quality great,0.8,positive
2024,alexa amazingwe love,0.5,positive
3312,alexa app not available download connect,-0.2,negative
363,alexa app recognise device gen echo dot device frustating device properly configure play musics well but shutdown device need reconfigured,0,neutral
3531,alexa awesome bcoz give quick response,0.6667,positive
3396,alexa awesome improvement but time cable conection not good,0.325,positive
1867,alexa bad,-0.7,negative
